,dataset,model,epoch,datatype,pipeline,rank,epoch time,commu,reduce,compute,accuracy,peak memory
0,yelp,"['gcn', 4, 512]",3000,int1,False,0,0.16028322973661677,0.03474540942146799,0.01909188886424554,0.10644593145090323,0.4762471490492967,9782.27978515625
0,yelp,"['gcn', 4, 512]",3000,int1,True,0,0.13693734596674095,0.0009958494664653473,0.014194553524521055,0.12174694297575454,0.4746751236572862,10117.78515625
0,yelp,"['gat', 4, 512]",1500,fp32,False,0,0.9939727149073472,0.7258297445869729,0.04024946512474525,0.227893505195629,0.42431943825818114,10536.373046875
0,yelp,"['gat', 4, 512]",1500,fp32,True,0,0.6467235961605146,0.33402959783222486,0.04362829815579736,0.2690657001724923,0.38862569590639795,12126.646484375
0,yelp,"['gat', 4, 512]",1500,fp16,False,0,0.7163045060935737,0.4215806651788516,0.04436980473516954,0.2503540361795525,0.4276105499812957,9972.41455078125
0,yelp,"['gat', 4, 512]",1500,fp16,True,0,0.33538178809507463,0.04775021051404026,0.03863894532020875,0.2489926322608256,0.40418876543687815,12457.314453125
0,yelp,"['gat', 4, 512]",1500,int8,False,0,0.49481443416487764,0.2184993947951613,0.0435587111057888,0.23275632826392756,0.42495032888939777,9687.93310546875
0,yelp,"['gat', 4, 512]",1500,int8,True,0,0.2963342834900605,0.0018269904123904268,0.04041742144863814,0.25408987162903196,0.39919336002918054,10118.6953125
0,yelp,"['gat', 4, 512]",1500,int4,False,0,0.4233986853136173,0.15114726159406097,0.03977394405126926,0.23247747966828708,0.4170606844981306,18125.0380859375
0,yelp,"['gat', 4, 512]",1500,int4,True,0,0.2911171624423136,0.002319330446433171,0.03754203811974263,0.25125579387613783,0.4113105454332308,18332.859375
0,yelp,"['gat', 4, 512]",1500,int2,False,0,0.36687464965576577,0.10017208146127868,0.039146394290328915,0.22755617390415822,0.43469333496207785,18055.865234375
0,yelp,"['gat', 4, 512]",1500,int2,True,0,0.3071735601368489,0.0018970117880720617,0.04076491139087422,0.2645116369579026,0.3789976383306578,18204.16162109375
0,yelp,"['gat', 4, 512]",1500,int1,False,0,0.33531426692611216,0.06610580432999541,0.03900839191312067,0.23020007068299608,0.416288460022901,18021.994140625
0,yelp,"['gat', 4, 512]",1500,int1,True,0,0.30406709517979164,0.0021562083869242563,0.03782686453871706,0.2640840222541503,0.4071706214031673,18150.63330078125
